gbifID,species,decimalLatitude,decimalLongitude,elevation
3947249624,Amelanchier alnifolia,48.026546,-122.773261,27
3947229596,Amelanchier alnifolia,48.019491,-122.776751,38
3947202015,Amelanchier alnifolia,45.479631,-123.226624,104
3947178697,Amelanchier alnifolia,44.732536,-122.166351,477
3947107982,Amelanchier alnifolia,48.571537,-120.851722,1899
3947103294,Amelanchier alnifolia,42.209896,-122.29072,1298
3947073805,Amelanchier alnifolia,51.349529,-121.09726,969
3925475578,Amelanchier alnifolia,48.856392,-117.319336,754
3925363626,Amelanchier alnifolia,48.029811,-122.77394,27
3925298570,Amelanchier alnifolia,48.027265,-122.773417,28
3925236561,Amelanchier alnifolia,49.080833,-123.712952,4
3925228412,Amelanchier alnifolia,47.053393,-122.949503,48
3925186483,Amelanchier alnifolia,47.453173,-123.285768,811
3925051565,Amelanchier alnifolia,44.568214,-121.621064,831
3925041839,Amelanchier alnifolia,49.171978,-123.968803,67
3925033883,Amelanchier alnifolia,51.479221,-128.010086,15
3923671984,Amelanchier alnifolia,51.868065,-124.640617,934
3923669654,Amelanchier alnifolia,49.190839,-124.079719,194
3923643993,Amelanchier alnifolia,49.183861,-117.613548,1057
3923639632,Amelanchier alnifolia,49.246605,-122.929047,18
3923521522,Amelanchier alnifolia,44.277446,-122.137075,1348
3923401580,Amelanchier alnifolia,53.125989,-123.582887,822
3923298658,Amelanchier alnifolia,50.709702,-119.101883,683
3923285106,Amelanchier alnifolia,50.778689,-121.080847,316
3923279288,Amelanchier alnifolia,53.029561,-119.236222,828
3923261272,Amelanchier alnifolia,49.195919,-123.926094,9
3923243082,Amelanchier alnifolia,50.778689,-121.080847,316
3923226310,Amelanchier alnifolia,49.06645,-120.885141,1372
3915685304,Amelanchier alnifolia,44.500398,-121.639654,877
3915572560,Amelanchier alnifolia,49.850684,-125.094678,2
3915554594,Amelanchier alnifolia,49.201908,-125.085159,121
3915492963,Amelanchier alnifolia,49.315066,-124.552402,138
3915459721,Amelanchier alnifolia,51.661072,-121.236161,937
3915423181,Amelanchier alnifolia,50.833679,-121.68911,931
3915406969,Amelanchier alnifolia,51.442814,-121.143257,1073
3915394678,Amelanchier alnifolia,49.840054,-125.908539,360
3915338899,Amelanchier alnifolia,50.840233,-121.702141,829
3915336659,Amelanchier alnifolia,50.833393,-121.701744,1005
3915329068,Amelanchier alnifolia,49.291487,-125.30115,109
3915323642,Amelanchier alnifolia,50.455125,-119.303322,1008
3912445732,Amelanchier alnifolia,48.47744,-123.32391,52
3912442490,Amelanchier alnifolia,50.206045,-116.969883,553
3912436551,Amelanchier alnifolia,54.708379,-127.038237,527
